# datasetName, datasetSize, codeMethod, CodeSize, Precision, Recall, FScore
Resources/names/subs.txt,1400,soundex,8,0.9571794,0.16653459,0.2837083
Resources/names/deletions.txt,1400,soundex,8,0.95133334,0.27123976,0.42212516
Resources/names/same_sounded.txt,1400,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,9,0.9796438,0.2085226,0.34385398
Resources/names/subs.txt,1400,soundex,9,0.9571794,0.16219892,0.2773923
Resources/names/deletions.txt,1400,soundex,9,0.95577776,0.26756248,0.41808528
Resources/names/same_sounded.txt,1400,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,10,0.98727745,0.20634158,0.3413424
Resources/names/subs.txt,1400,soundex,10,0.9571794,0.15940171,0.27329144
Resources/names/deletions.txt,1400,soundex,10,0.96022224,0.26518154,0.4155907
Resources/names/same_sounded.txt,1400,soundex,10,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,11,0.98727745,0.20495366,0.33944112
Resources/names/subs.txt,1400,soundex,11,0.9571794,0.1587024,0.27226302
Resources/names/deletions.txt,1400,soundex,11,0.96022224,0.26454663,0.4148106
Resources/names/same_sounded.txt,1400,soundex,11,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1400,soundex,12,0.98727745,0.20495366,0.33944112
Resources/names/subs.txt,1400,soundex,12,0.9571794,0.1587024,0.27226302
Resources/names/deletions.txt,1400,soundex,12,0.96022224,0.26454663,0.4148106
Resources/names/same_sounded.txt,1400,soundex,12,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,2,0.38971856,0.7051177,0.5019883
Resources/names/subs.txt,1600,soundex,2,0.39082074,0.69964725,0.50150335
Resources/names/deletions.txt,1600,soundex,2,0.25738958,0.71169,0.3780527
Resources/names/same_sounded.txt,1600,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,1600,soundex,3,0.7011419,0.57279444,0.63050276
Resources/names/subs.txt,1600,soundex,3,0.7224416,0.5515574,0.62553906
Resources/names/deletions.txt,1600,soundex,3,0.6277205,0.58793384,0.60717607
Resources/names/same_sounded.txt,1600,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,1600,soundex,4,0.87341493,0.45488882,0.5982166
Resources/names/subs.txt,1600,soundex,4,0.8522311,0.42616433,0.5681974
Resources/names/deletions.txt,1600,soundex,4,0.824982,0.4563253,0.5876188
Resources/names/same_sounded.txt,1600,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,1600,soundex,5,0.9307094,0.33928615,0.49728808
Resources/names/subs.txt,1600,soundex,5,0.90979004,0.29885095,0.44991294
Resources/names/deletions.txt,1600,soundex,5,0.9092623,0.36370695,0.51958054
Resources/names/same_sounded.txt,1600,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,6,0.96194446,0.2662155,0.41702148
Resources/names/subs.txt,1600,soundex,6,0.93445194,0.23648232,0.37744454
Resources/names/deletions.txt,1600,soundex,6,0.9296897,0.3063926,0.46089172
Resources/names/same_sounded.txt,1600,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,7,0.9672222,0.23335363,0.37599427
Resources/names/subs.txt,1600,soundex,7,0.9402684,0.19389535,0.32149446
Resources/names/deletions.txt,1600,soundex,7,0.94084597,0.28006086,0.43163675
Resources/names/same_sounded.txt,1600,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,8,0.9755556,0.21952194,0.3583966
Resources/names/subs.txt,1600,soundex,8,0.9469798,0.17589658,0.2966854
Resources/names/deletions.txt,1600,soundex,8,0.946149,0.2725302,0.42316988
Resources/names/same_sounded.txt,1600,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,9,0.9822223,0.21340078,0.35062388
Resources/names/subs.txt,1600,soundex,9,0.9536912,0.16894113,0.2870355
Resources/names/deletions.txt,1600,soundex,9,0.94993687,0.26939622,0.41975304
Resources/names/same_sounded.txt,1600,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,1600,soundex,10,0.988889,0.21037047,0.34693584
Resources/names/subs.txt,1600,soundex,10,0.9587248,0.1621077,0.27732366
